month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
6,5.626299199579417e-5,0.0025907066621922957,-0.007287632629560162,0,0.9646793977836083,2.10590768232066,1.1919401681299413,30,6 months,+30%
7,-6.13813428897862e-4,0.00114497932587896,-0.0029645826912067497,0,0.9032980548938222,2.220405614908556,0.8954818990092663,30,6 months,+30%
8,2.3559308794054816e-4,-0.007379814279472518,-0.002193957622792374,0,0.9268573636878771,1.4824241869613042,0.676086136730029,30,6 months,+30%
9,-0.001840938350541425,-0.002992733865961058,-0.0017033548145650667,0,0.7427635286337344,1.1831508003651983,0.5057506552735224,30,6 months,+30%
10,-9.675299644993788e-4,5.291390150479114e-4,-0.0012317473509310503,0,0.6460105321837967,1.2360647018699895,0.3825759201804173,30,6 months,+30%
11,-7.470249723241077e-4,-5.601614616384748e-4,-0.0010518726068350689,0,0.5713080349513858,1.180048555706142,0.2773886594969104,30,6 months,+30%
12,-6.853332772256311e-4,-7.508191773533263e-4,-8.54926175618088e-4,0,0.5027747072288228,1.1049666379708092,0.1918960419351016,30,6 months,+30%
0,0.0019918204997279474,-1.2659191500385449e-4,0.012689792161481656,40.546510810816436,0.19918204997279473,-0.012659191500385449,1.2689792161481657,50,1 month,+50%
1,5.990934562189404e-4,9.306205034067217e-4,-0.007122495291832682,0,0.2590913955946888,0.08040285884028672,0.5567296869648974,50,1 month,+50%
2,-0.0014765913936992201,0.013553711403820633,-0.0014049055133558063,0,0.11143225622476677,1.43577399922235,0.4162391356293168,50,1 month,+50%
3,0.0030733224496590217,-0.006605797149264285,-9.848076404314213e-4,0,0.41876450119066894,0.7751942842959215,0.3177583715861747,50,1 month,+50%
4,-0.0015085873165655971,-0.005654772685575717,-9.304856287328059e-4,0,0.2679057695341092,0.20971701573834983,0.22470980871289412,50,1 month,+50%
5,-4.213412912031325e-4,0.0015600784807183606,-4.081696360019477e-4,0,0.225771640413796,0.3657248638101859,0.18389284511269932,50,1 month,+50%
6,-1.7894549529706206e-4,2.1991033497497509e-4,-4.116485757395767e-4,0,0.20787709088408976,0.3877158973076834,0.14272798753874166,50,1 month,+50%
7,-4.364614772618871e-4,-0.0013036471545876801,-4.4153241691855416e-4,0,0.16423094315790107,0.25735118184891537,0.09857474584688625,50,1 month,+50%
8,-1.6389468983717993e-4,3.792557750819238e-4,-2.139598740566219e-4,0,0.14784147417418306,0.2952767593571078,0.07717875844122406,50,1 month,+50%
9,-1.3580759670223097e-4,1.741202215482518e-4,-2.2661627210693314e-4,0,0.13426071450395996,0.31268878151193297,0.05451713123053074,50,1 month,+50%
10,-1.5879744945893146e-4,-2.1197135232305792e-4,-2.0165019981074157e-4,0,0.11838096955806682,0.2914916462796272,0.03435211124945658,50,1 month,+50%
11,-8.05666789585901e-5,-1.2335709096042424e-4,-1.301861510603795e-4,0,0.11032430166220782,0.2791559371835848,0.02133349614341863,50,1 month,+50%
12,-8.360541583445763e-5,-7.473745736397835e-5,-1.0728202571803425e-4,0,0.10196376007876205,0.2716821914471869,0.010605293571615205,50,1 month,+50%
0,0.0019918204997279474,-1.2659191500385449e-4,0.012689792161481656,40.546510810816436,0.19918204997279473,-0.012659191500385449,1.2689792161481657,50,2 months,+50%
1,0.0025909139559468887,8.040285884028664e-4,0.005567296869648975,40.546510810816436,0.4582734455674836,0.0677436673399012,1.825708903113063,50,2 months,+50%
2,-8.774979374802832e-4,0.014484331907227355,-0.008527400805188486,0,0.3705236518194553,1.5161768580626367,0.9729688225942144,50,2 months,+50%
